Trace1,Trace2,Judge,Time1,Time2,Time3
T9_samples4.csv,T4_samples7.csv,4,63044,5651,68695
T9_samples4.csv,T2_samples2.csv,5,23573,3169,26742
T9_samples4.csv,T1_samples4.csv,5,19783,2719,22502
T9_samples4.csv,T2_samples5.csv,5,33924,3066,36990
T9_samples4.csv,T8_samples2.csv,5,46851,2621,49472
T9_samples4.csv,T4_samples3.csv,4,39625,2843,42468
T9_samples4.csv,T4_samples1.csv,4,24904,2568,27472
T9_samples4.csv,T2_samples3.csv,4,17696,18311,36007
T9_samples4.csv,T1_samples1.csv,5,11844,2326,14170
T9_samples4.csv,T2_samples1.csv,5,15141,2386,17527
T9_samples4.csv,T1_samples3.csv,4,22904,2880,25784
T9_samples4.csv,T2_samples4.csv,3,17575,2461,20036
T9_samples4.csv,T8_samples1.csv,5,19729,2395,22124
T9_samples4.csv,T4_samples2.csv,5,23647,2552,26199
T9_samples4.csv,T8_samples5.csv,5,17932,2885,20817
T9_samples1.csv,T4_samples7.csv,5,35118,2528,37646
T9_samples1.csv,T2_samples2.csv,5,28593,2341,30934
T9_samples1.csv,T2_samples5.csv,4,45249,2507,47756
T9_samples1.csv,T8_samples2.csv,5,26437,2330,28767
T9_samples1.csv,T8_samples6.csv,5,32197,19276,51473
T9_samples1.csv,T4_samples1.csv,5,22522,2585,25107
T9_samples1.csv,T4_samples6.csv,4,295,29011,29306
T9_samples1.csv,T2_samples3.csv,4,18828,10321,29149
T9_samples1.csv,T2_samples1.csv,5,13754,2119,15873
T9_samples1.csv,T2_samples4.csv,4,14191,2375,16566
T9_samples1.csv,T8_samples1.csv,5,3338,30277,33615
T9_samples1.csv,T8_samples5.csv,4,24289,2502,26791
T4_samples5.csv,T8_samples2.csv,5,58989,2971,61960
T4_samples5.csv,T8_samples4.csv,5,16960,2324,19284
T4_samples5.csv,T8_samples3.csv,5,13111,2440,15551
T9_samples1.csv,T4_samples7.csv,5,30240,2403,32643
T9_samples1.csv,T2_samples2.csv,5,22664,2770,25434
T9_samples1.csv,T2_samples5.csv,3,26348,2723,29071
T9_samples1.csv,T8_samples2.csv,4,20825,2489,23314
T9_samples1.csv,T8_samples6.csv,4,13810,2579,16389
T9_samples1.csv,T4_samples1.csv,5,15281,2358,17639
T9_samples1.csv,T4_samples6.csv,4,39125,2432,41557
T9_samples1.csv,T2_samples3.csv,5,21077,8889,29966
T9_samples1.csv,T2_samples1.csv,5,10916,2814,13730
T9_samples1.csv,T2_samples4.csv,5,15228,2161,17389
T9_samples1.csv,T8_samples1.csv,5,10664,1832,12496
T9_samples1.csv,T8_samples5.csv,5,12277,2468,14745
T4_samples5.csv,T8_samples2.csv,5,24208,2134,26342
T4_samples5.csv,T8_samples4.csv,5,15381,2386,17767
T4_samples5.csv,T8_samples3.csv,5,12084,2181,14265
T8_samples7.csv,T2_samples2.csv,4,32830,1716,34546
T8_samples7.csv,T4_samples3.csv,3,41605,1941,43546
T8_samples7.csv,T4_samples1.csv,4,14439,2977,17416
T8_samples7.csv,T2_samples3.csv,4,20413,2030,22443
T8_samples7.csv,T4_samples6.csv,5,18550,1974,20524
T8_samples7.csv,T4_samples4.csv,5,14548,1698,16246
T8_samples7.csv,T4_samples2.csv,4,20152,1628,21780
T4_samples3.csv,T8_samples6.csv,5,3469,25229,28698
T4_samples3.csv,T9_samples4.csv,4,20063,3075,23138
T4_samples3.csv,T8_samples1.csv,5,13059,1726,14785
T4_samples3.csv,T8_samples7.csv,5,13158,1235,14393
T4_samples3.csv,T8_samples5.csv,5,12368,1195,13563
T2_samples2.csv,T4_samples7.csv,5,31686,1554,33240
T2_samples2.csv,T9_samples2.csv,3,19968,1515,21483
T2_samples2.csv,T8_samples6.csv,4,33720,2288,36008
T2_samples2.csv,T4_samples1.csv,4,31660,8708,40368
T2_samples2.csv,T4_samples6.csv,4,15427,5543,20970
T2_samples2.csv,T9_samples4.csv,5,19386,1830,21216
T2_samples2.csv,T1_samples3.csv,4,28017,1697,29714
T2_samples2.csv,T8_samples1.csv,5,18964,2085,21049
T2_samples2.csv,T8_samples7.csv,4,15517,1132,16649
T2_samples2.csv,T9_samples3.csv,3,29105,1135,30240
T2_samples2.csv,T4_samples2.csv,5,19808,1985,21793
T2_samples2.csv,T9_samples1.csv,4,22077,1738,23815
T4_samples3.csv,T8_samples6.csv,4,53047,1730,54777
T4_samples3.csv,T9_samples4.csv,5,34863,2425,37288
T4_samples3.csv,T8_samples1.csv,4,24920,2001,26921
T4_samples3.csv,T8_samples7.csv,5,9130,1576,10706
T4_samples3.csv,T8_samples5.csv,5,11518,1640,13158
T4_samples3.csv,T8_samples6.csv,5,24923,1080,26003
T4_samples3.csv,T9_samples4.csv,4,11106,1402,12508
T4_samples3.csv,T8_samples1.csv,3,815,20269,21084
T4_samples3.csv,T8_samples7.csv,5,8157,1731,9888
T4_samples3.csv,T8_samples5.csv,5,8214,1944,10158
T8_samples2.csv,T4_samples7.csv,5,71225,1696,72921
T8_samples2.csv,T2_samples5.csv,2,34216,1412,35628
T8_samples2.csv,T4_samples5.csv,5,32625,1128,33753
T8_samples2.csv,T4_samples6.csv,5,16130,1818,17948
T8_samples2.csv,T9_samples4.csv,4,16884,1241,18125
T8_samples2.csv,T2_samples4.csv,3,20180,1856,22036
T8_samples2.csv,T4_samples2.csv,4,24116,752,24868
T8_samples2.csv,T9_samples1.csv,2,16315,1684,17999
T4_samples4.csv,T1_samples4.csv,4,20796,1696,22492
T4_samples4.csv,T8_samples7.csv,4,20189,2472,22661
T9_samples3.csv,T4_samples7.csv,4,19801,1534,21335
T9_samples3.csv,T2_samples2.csv,5,20435,1845,22280
T9_samples3.csv,T2_samples5.csv,4,17643,1907,19550
T9_samples3.csv,T2_samples3.csv,4,10080,1038,11118
T9_samples3.csv,T4_samples6.csv,4,13762,1083,14845
T9_samples3.csv,T2_samples1.csv,5,16570,1890,18460
T9_samples3.csv,T8_samples1.csv,4,13901,2330,16231
T1_samples4.csv,T9_samples4.csv,3,22451,1678,24129
T1_samples4.csv,T2_samples3.csv,3,11605,2422,14027
T1_samples4.csv,T4_samples4.csv,4,14991,2268,17259
T8_samples6.csv,T4_samples7.csv,4,17059,783,17842
T8_samples6.csv,T2_samples2.csv,3,17204,942,18146
T8_samples6.csv,T4_samples3.csv,4,23025,2012,25037
T8_samples6.csv,T4_samples1.csv,4,15521,1488,17009
T8_samples6.csv,T9_samples1.csv,3,16863,1342,18205
T8_samples4.csv,T4_samples7.csv,4,15923,1473,17396
T8_samples4.csv,T4_samples5.csv,3,16822,2636,19458
T8_samples4.csv,T4_samples6.csv,3,14518,1063,15581
T8_samples4.csv,T1_samples1.csv,4,11903,1311,13214
T8_samples4.csv,T4_samples2.csv,4,22322,1978,24300
T2_samples5.csv,T4_samples7.csv,5,17163,1396,18559
T2_samples5.csv,T9_samples2.csv,4,11901,1387,13288
T2_samples5.csv,T8_samples2.csv,4,23205,2130,25335
T2_samples5.csv,T1_samples5.csv,4,18684,1053,19737
T2_samples5.csv,T9_samples4.csv,5,16201,1041,17242
T2_samples5.csv,T8_samples1.csv,5,9641,1516,11157
T2_samples5.csv,T9_samples3.csv,4,12333,2869,15202
T2_samples5.csv,T4_samples2.csv,4,11689,1170,12859
T2_samples5.csv,T9_samples1.csv,3,14420,1895,16315
T8_samples6.csv,T4_samples7.csv,3,25030,2155,27185
T8_samples6.csv,T2_samples2.csv,4,23114,1171,24285
T8_samples6.csv,T4_samples3.csv,4,22532,1125,23657
T8_samples6.csv,T4_samples1.csv,3,12582,1192,13774
